Channel ID,Channel Title,Category,Country,Year,Sum of Subscribers,Sum of Total Videos,Sum of View Count,Channel Age,Subscribers per view,Subscribers per year,Viewers per year,Is_SubscriberOutlier,Is_TotalVideosOutlier,Is_ViewCountOutlier,Sum of Log_Subscribers,Sum of Log_TotalVideos,Sum of Log_ViewCount
UCr6vdPRDfewykWkW8epidZQ,C3 MUSIC,Music,Australia,2015,5950,93,988775,10,0.006017547,595,98877.5,No,No,No,3.7745899502647946,1.9731278535996986,5.995097916488611
UCr9o1GNai3iUz69RXEQ-hcQ,La Science En Schémas,Science & Technology,France,2019,14800,30,695116,6,0.02129141,2466.666667,115852.6667,No,No,No,4.170291058625393,1.4913616938342726,5.842057909881975
UCRB5G79W5v2gxiN08P_45aA,Children of Film,Film & Animation,Australia,2016,97,58,11514,9,0.008424527,10.77777778,1279.333333,No,No,No,1.9912260756924949,1.7708520116421442,4.06126394230025
UCrBPPGyR_7aOd882VpMRkRg,DREAM AND TRAVEL,Travel & Events,Poland,2015,196000,716,37256332,10,0.005260851,19600,3725633.2,No,No,No,5.2922582871389965,2.8555191556678,7.571200106699856
UCrEMhtoeEJhX04mpXi5FHTw,Rumah Film Indonesia,Film & Animation,Indonesia,2015,1520000,2130,380252738,10,0.003997341,76000,19012636.9,No,No,No,11.761628327441047,6.055514409381107,16.558084712965467
UCRexnRDBJijAd9hua8vFB7g,Geek News Central / New Media Show,News & Politics,United States,2006,2790,2050,931051,19,0.002996614,146.8421053,49002.68421,No,No,No,3.445759836488631,3.3119656603683665,5.9689739373534145
UCrHtqvZkldH6O2_V0pgffvA,Japan Fishing Tackle News,News & Politics,Australia,2017,3250,84,613126,8,0.005300705,406.25,76640.75,No,No,No,3.5120169694961265,1.9294189257142926,5.787550441380573
UCRjM7gge9QUwFL41z9NYGsA,Central News UTS,News & Politics,Australia,2019,439,120,86434,6,0.00507902,73.16666667,14405.66667,No,No,No,2.6434526764861874,2.0827853703164503,4.9366896363322725
UCRmq7PSw_fDGdR2N1UvgC2A,Sydney Institute of Marine Science,Science & Technology,Australia,2017,35,15,1686,8,0.020759193,4.375,210.75,No,No,No,1.5563025007672873,1.2041199826559248,3.2271150825891253
UCrPsv-Ke_8rjbONI1NpUrMw,Global Travel Mate,Travel & Events,Netherlands,2011,116000,1445,23567657,14,0.004922,8285.714286,1683404.071,No,No,No,5.064461733128728,3.160168292958512,7.372316427318036
UCRpZEVuYFCP98384tSaMyKA,Little People - Fisher Price,People & Blogs,United Kingdom,2014,390000,1735,617893309,11,0.000631177,35454.54545,56172119,No,No,No,5.591065720600666,3.239549720840473,8.790913493085087
UCRqL3AaL8aB4FTHqLd1pPuw,SVT Humor,Comedy,Sweden,2015,80200,3343,118597993,10,0.000676234,8020,11859799.3,No,No,No,4.90417978339357,3.524266268766979,8.07407734331072
UCRRNaqLzUtYYxCSE7E_Gzcw,Mojiborer Comedy Channel মজিবরের কমেডি চ্যানেল,Comedy,India,2019,622000,648,179155381,6,0.003471847,103666.6667,29859230.17,No,No,No,5.793791082912898,2.812244696800369,8.253229859322072
UCRUCjPehBxFQ6lfZDqq_f7g,Institute of Education Sciences,Education,United States,2014,20300,2161,4194171,11,0.004840051,1845.454545,381288.2727,No,No,No,4.307517431203132,3.3348556896172914,6.622646236601237
UCrVn2fQY_FkXU1EP1l-otHw,Comedy GamerGr,Comedy,Greece,2015,204000,1460,58174029,10,0.003506719,20400,5817402.9,No,No,No,5.3096322963152,3.1646502159342966,7.764729150546485
UCRW9mO8aDFzIYcUvRIExZRQ,Institute of Culinary Education,Education,United States,2013,92300,333,33666913,12,0.002741564,7691.666667,2805576.083,No,No,No,4.965206406249415,2.5237464668115646,7.527203309610721
UCrwE7Dm2qP3UUKWm20lmylg,Sadanna Comedy,Comedy,India,2016,848000,128,272316922,9,0.003114019,94222.22222,30257435.78,No,No,No,5.928396364396131,2.110589710299249,8.4350746311936
UCRwucehnmcMPFHwsNYb4SPA,Emu Music,Music,Australia,2011,19100,256,7190376,14,0.002656328,1364.285714,513598.2857,No,No,No,4.281056104583504,2.4099331233312946,6.856751661554975
UC-Rx9HRmDoc5YmtcPOopmrA,Travel Beans,Travel & Events,United Kingdom,2015,373000,611,55043840,10,0.006776417,37300,5504384,No,No,No,5.571709996135497,2.7867514221455614,7.740708731675531
UCRXRbi80k0_vcIfgpOSerTg,Subject Zero Science,Science & Technology,Canada,2018,381000,47,30872407,7,0.012341117,54428.57143,4410343.857,No,No,No,5.580926115554654,1.6812412373755872,7.4895705051000645
UCs0AJ4JeDn_5enc4jf47Bhw,Science Sauce,Science & Technology,United Kingdom,2014,108000,111,15762356,11,0.006851768,9818.181818,1432941.455,No,No,No,5.033427776713536,2.0492180226701815,7.19762115957209
UCS1jCK866uI7eyd_-oyAIKA,Tillip Film ཏི་ལླིཔ།,Film & Animation,Australia,2014,1820,27,230043,11,0.007911564,165.4545455,20913,No,No,No,3.26030994579492,1.4471580313422192,5.361810910494217
UCS2E8XulDhyAw3ji7ggg1EQ,Golden TV - Funny Hindi Comedy Videos,Comedy,Singapore,2019,5780000,338,1242465556,6,0.00465204,963333.3333,207077592.7,Yes,No,Yes,6.761927913557976,2.530199698203082,9.094284358280884
UCS3wWlfGUijnRIf745lRl2A,FuseSchool - Global Education,Education,United Kingdom,2011,875000,968,172065296,14,0.005085279,62500,12290378.29,No,No,No,5.94200854935858,2.986323777050765,8.23569328844997
